위치	만족도	X	Y	소비시간
0	0	0	0	0
1	2	0.0300000000000000	0.930000000000000	76
2	1	0.900000000000000	0.910000000000000	26
3	3	1.29000000000000	0	109
4	3	1.96000000000000	0.580000000000000	104
5	1	0.650000000000000	2.04000000000000	22
6	3	1.77000000000000	1.82000000000000	105
7	3	2.34000000000000	1.29000000000000	114
8	3	0.370000000000000	2.77000000000000	119
9	1	1.44000000000000	2.72000000000000	25
10	3	2.70000000000000	1.98000000000000	119
11	2	3.30000000000000	0.750000000000000	63
12	1	0.700000000000000	3.40000000000000	15
13	3	2.30000000000000	2.91000000000000	110
14	1	3.71000000000000	0.0300000000000000	18
15	2	3.96000000000000	1.15000000000000	69
16	3	3.74000000000000	1.87000000000000	121
17	2	1.69000000000000	4.32000000000000	74
18	1	0.430000000000000	4.81000000000000	28
19	1	3.02000000000000	3.78000000000000	12
20	2	3.62000000000000	3.22000000000000	77
21	2	4.22000000000000	2.56000000000000	59
22	2	4.75000000000000	1.73000000000000	76
23	3	2.73000000000000	4.64000000000000	115
24	2	2.08000000000000	5	60
25	1	4.40000000000000	3.69000000000000	26
26	2	3.73000000000000	4.72000000000000	58
27	1	4.73000000000000	4.32000000000000	30
28	0	5	5	0
